figure_id,panel_id,title,paper_reference,data_file,plotting_script,output_file,data_kind,data_source,generation_command,environment,status,notes
frontier_schematic,,Frontier active-boundary schematic,fig:frontier_schematic; frontier_decoder2.tex lines 277-279,paper/plots/data/fig_frontier_schematic_elements.csv,,paper/plots/outputs/fig_frontier_decoder_schematic.png,derived-summary,better-beam:docs/paper/build_paper_assets.py constants,python docs/paper/build_paper_assets.py,Source summaries imported from local manuscript artifact checkout; exact plotting environment not committed here.,script-missing,"Generated explanatory schematic; data table records nodes, edges, coordinates, processed boundary, and active rows."
algorithm,step1,Algorithm recap state-plane panel,fig:algorithm; frontier_decoder2.tex lines 457-478,paper/plots/data/fig_algorithm_recap_states.csv,,paper/plots/outputs/fig_algorithm_recap_step1_retained.png,derived-summary,better-beam:results/20260601_bb72_dem_score_plane_talk_v1/bb72_dem_p002_k512_delta8_algorithm_recap_states.csv,Import existing compact plot-ready summary table; figure renderer pending.,Source summaries imported from local manuscript artifact checkout; exact plotting environment not committed here.,script-missing,Retained states before the illustrated branch step.
algorithm,step2,Algorithm recap state-plane panel,fig:algorithm; frontier_decoder2.tex lines 457-478,paper/plots/data/fig_algorithm_recap_states.csv,,paper/plots/outputs/fig_algorithm_recap_step2_evolved.png,derived-summary,better-beam:results/20260601_bb72_dem_score_plane_talk_v1/bb72_dem_p002_k512_delta8_algorithm_recap_states.csv,Import existing compact plot-ready summary table; figure renderer pending.,Source summaries imported from local manuscript artifact checkout; exact plotting environment not committed here.,script-missing,Branched candidate states after processing one variable.
algorithm,step3,Algorithm recap state-plane panel,fig:algorithm; frontier_decoder2.tex lines 457-478,paper/plots/data/fig_algorithm_recap_states.csv,,paper/plots/outputs/fig_algorithm_recap_step3_merged.png,derived-summary,better-beam:results/20260601_bb72_dem_score_plane_talk_v1/bb72_dem_p002_k512_delta8_algorithm_recap_states.csv,Import existing compact plot-ready summary table; figure renderer pending.,Source summaries imported from local manuscript artifact checkout; exact plotting environment not committed here.,script-missing,Merged equivalent boundary/logical states.
algorithm,step4,Algorithm recap state-plane panel,fig:algorithm; frontier_decoder2.tex lines 457-478,paper/plots/data/fig_algorithm_recap_states.csv,,paper/plots/outputs/fig_algorithm_recap_step4_pruned.png,derived-summary,better-beam:results/20260601_bb72_dem_score_plane_talk_v1/bb72_dem_p002_k512_delta8_algorithm_recap_states.csv,Import existing compact plot-ready summary table; figure renderer pending.,Source summaries imported from local manuscript artifact checkout; exact plotting environment not committed here.,script-missing,Pruned retained states after Delta filtering.
surface_threshold,left,Rotated-surface code-capacity FER vs p,fig:surface_threshold; frontier_decoder2.tex lines 586-601,paper/plots/data/fig_surface_threshold.csv,,paper/plots/outputs/fig_surface_threshold_log_paper.png,derived-summary,better-beam:docs/paper/v4_simulation_results/data/plot_data_surface_threshold_log_paper.csv,Import existing compact plot-ready summary table; figure renderer pending.,Source summaries imported from local manuscript artifact checkout; exact plotting environment not committed here.,script-missing,Left panel uses FER columns; right panel uses retained-list columns from the same aggregate rows.
surface_threshold,right,Rotated-surface code-capacity average retained list size,fig:surface_threshold; frontier_decoder2.tex lines 586-601,paper/plots/data/fig_surface_threshold.csv,,paper/plots/outputs/fig_surface_average_retained_list_size_paper.png,derived-summary,better-beam:docs/paper/v4_simulation_results/data/plot_data_surface_threshold_log_paper.csv,Import existing compact plot-ready summary table; figure renderer pending.,Source summaries imported from local manuscript artifact checkout; exact plotting environment not committed here.,script-missing,Shared table with left panel.
color_threshold,left,Hexagonal color-code code-capacity FER vs p,fig:color_threshold; frontier_decoder2.tex lines 637-654,paper/plots/data/fig_color_threshold_fer.csv,,paper/plots/outputs/fig_color_code_frontierfast_fer_vs_p_selected_d9_d13_d17_d21.png,derived-summary,better-beam:docs/paper/v4_simulation_results/data/plot_data_color_code_selected.csv,Import existing compact plot-ready summary table; figure renderer pending.,Source summaries imported from local manuscript artifact checkout; exact plotting environment not committed here.,script-missing,"FER table for selected d=9,13,17,21 rows."
color_threshold,right,Hexagonal color-code average retained states,fig:color_threshold; frontier_decoder2.tex lines 637-654,paper/plots/data/fig_color_threshold_retained_states.csv,,paper/plots/outputs/fig_color_code_rung0_mean_retained_states_paper.png,derived-summary,better-beam:docs/paper/v4_simulation_results/data/plot_data_color_code_rung0_mean_retained_states.csv,Import existing compact plot-ready summary table; figure renderer pending.,Source summaries imported from local manuscript artifact checkout; exact plotting environment not committed here.,script-missing,"Average retained-state table for selected d=9,13,17,21 rows."
surface_memory_z_dem_mwpm,,Rotated-surface memory-Z DEM Frontier vs MWPM,fig:surface_memory_z_dem_mwpm; frontier_decoder2.tex lines 673-682,paper/plots/data/fig_surface_memory_z_dem_mwpm.csv,,paper/plots/outputs/fig_surface_memory_z_dem_frontier_vs_mwpm.png,derived-summary,better-beam:docs/paper/data/surface_memory_z_dem_frontier_vs_mwpm.csv,Import existing compact plot-ready summary table; figure renderer pending.,Source summaries imported from local manuscript artifact checkout; exact plotting environment not committed here.,script-missing,Detector-side DEM comparison at p_location=0.002.
